group,age,weight,height
65,22,67,1.73
64,22,67,1.73
63,22,67,1.73
62,22,67,1.73
61,22,67,1.73
60,22,67,1.73
59,22,67,1.73
58,22,67,1.73
57,22,67,1.73
56,22,67,1.73
55,22,67,1.73
54,22,67,1.73
53,22,67,1.73
52,22,67,1.73
51,22,67,1.73
50,22,67,1.73
49,22,67,1.73
48,22,67,1.73
47,22,67,1.73
46,22,67,1.73
45,22,67,1.73
44,22,67,1.73
43,22,67,1.73
42,22,67,1.73
41,22,67,1.73
40,22,67,1.73
39,22,67,1.73
38,22,67,1.73
37,22,67,1.73
36,22,67,1.73
35,22,67,1.73
34,22,67,1.73
33,22,67,1.73
32,22,67,1.73
31,22,67,1.73
30,22,67,1.73
29,22,67,1.73
28,22,67,1.73
27,22,67,1.73
26,22,67,1.73
25,22,67,1.73
24,22,67,1.73
23,22,67,1.73
22,22,67,1.73
21,22,67,1.73
20,22,67,1.73
19,22,67,1.73
18,22,67,1.73
17,22,67,1.73
16,22,67,1.73
15,22,67,1.73
14,22,67,1.73
13,22,67,1.73
12,22,67,1.73
11,22,67,1.73
10,22,67,1.73
9,22,67,1.73
8,22,67,1.73
7,22,67,1.73
6,22,67,1.73
5,22,67,1.73
4,22,67,1.73
3,22,67,1.73
2,22,67,1.73
1,22,67,1.73
